                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.91109,                0.53252,                 0.6173,                0.73212,                0.50864,                 0.5646,                0.35864,                0.91285,                0.53862,                0.62834,               0.007425,               0.007425,               0.007425
                    105,                0.91985,                0.54065,                0.62123,                0.74761,                0.49968,                0.55653,                0.36316,                0.90851,                0.53799,                0.62847,                 0.0074,                 0.0074,                 0.0074
                    106,                0.92149,                0.54259,                0.62075,                0.79082,                0.49226,                0.56567,                0.37083,                0.91154,                 0.5395,                0.62797,               0.007375,               0.007375,               0.007375
                    107,                0.90922,                0.53107,                0.61729,                 0.6847,                0.50667,                 0.5324,                0.34876,                0.91421,                 0.5378,                0.63142,                0.00735,                0.00735,                0.00735
                    108,                0.90743,                0.52953,                0.61897,                0.73079,                0.47196,                0.54428,                0.35433,                0.90058,                0.54232,                0.62641,               0.007325,               0.007325,               0.007325
                    109,                0.90385,                0.52764,                0.61745,                0.70169,                0.49078,                0.54025,                0.36046,                0.90651,                0.53521,                0.62691,                 0.0073,                 0.0073,                 0.0073
                    110,                 0.9068,                0.52701,                0.61812,                0.74508,                 0.4664,                0.53309,                0.34483,                0.91652,                0.54357,                0.63164,               0.007275,               0.007275,               0.007275
                    111,                0.90377,                0.52585,                0.61706,                0.69132,                0.52019,                0.54892,                0.35365,                0.90595,                0.53788,                0.62821,                0.00725,                0.00725,                0.00725
                    112,                0.90373,                0.52824,                0.61822,                0.65816,                0.50928,                0.52765,                 0.3409,                0.90716,                0.54126,                0.62997,               0.007225,               0.007225,               0.007225
                    113,                0.90232,                0.52364,                0.61393,                0.77703,                0.48299,                0.55962,                0.34763,                0.91174,                 0.5368,                0.63204,                 0.0072,                 0.0072,                 0.0072
                    114,                0.90755,                   0.53,                0.61737,                0.73949,                0.49357,                0.55835,                0.35484,                0.91039,                0.53628,                0.63218,               0.007175,               0.007175,               0.007175
                    115,                0.89784,                0.52179,                0.61313,                0.71949,                0.50714,                0.56668,                0.34574,                0.91265,                 0.5319,                0.63126,                0.00715,                0.00715,                0.00715
                    116,                0.89872,                0.51981,                0.61522,                0.74186,                0.49855,                0.55428,                0.34822,                0.91239,                0.53448,                0.63223,               0.007125,               0.007125,               0.007125
                    117,                0.89745,                0.52476,                0.61377,                0.71391,                0.52328,                0.55771,                0.35445,                0.90991,                0.53422,                0.62861,                 0.0071,                 0.0071,                 0.0071
                    118,                0.90057,                0.52293,                0.61442,                0.72448,                  0.491,                 0.5519,                0.35635,                0.90163,                0.53407,                0.62839,               0.007075,               0.007075,               0.007075
